Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
117,Stoke City,2018-04-07,Tottenham,eng Premier League,L 1-2,1,2,-1,35,1,0,0,0,423,59,140,177,110,15,423,Match Report
118,Manchester City,2018-04-07,Manchester Utd,eng Premier League,L 2-3,2,3,-1,64,2,0,0,0,730,49,178,255,177,34,730,Match Report
119,Swansea City,2018-04-07,West Brom,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,591,66,217,255,119,7,591,Match Report
120,Huddersfield,2018-04-07,Brighton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,672,57,203,255,162,22,672,Match Report
121,Everton,2018-04-07,Liverpool,eng Premier League,D 0-0,0,0,0,39,0,0,0,0,515,64,162,230,131,13,515,Match Report
122,Brighton,2018-04-07,Huddersfield,eng Premier League,D 1-1,1,1,0,42,0,0,0,0,518,63,169,222,128,23,518,Match Report
123,Newcastle Utd,2018-04-07,Leicester City,eng Premier League,W 2-1,2,1,+1,35,2,0,0,0,422,56,181,164,82,5,422,Match Report
124,Manchester Utd,2018-04-07,Manchester City,eng Premier League,W 3-2,3,2,+1,36,3,0,0,0,459,69,155,208,102,8,459,Match Report
125,Leicester City,2018-04-07,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,65,1,0,0,0,680,29,155,255,183,20,680,Match Report
126,Burnley,2018-04-07,Watford,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,453,78,197,180,79,12,453,Match Report
127,Liverpool,2018-04-07,Everton,eng Premier League,D 0-0,0,0,0,61,0,0,0,0,733,49,181,255,171,26,733,Match Report
128,West Brom,2018-04-07,Swansea City,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,639,44,150,255,152,24,639,Match Report
129,Watford,2018-04-07,Burnley,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,593,43,173,240,185,23,593,Match Report
