Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
183,Chelsea,2018-03-04,Manchester City,eng Premier League,L 0-1,0,1,-1,29,0,0,0,0,4,4,0,0,0,0,0,Match Report
184,Brighton,2018-03-04,Arsenal,eng Premier League,W 2-1,2,1,+1,33,2,0,0,0,24,17,4,2,1,0,0,Match Report
185,Arsenal,2018-03-04,Brighton,eng Premier League,L 1-2,1,2,-1,67,1,0,0,0,27,22,2,0,2,1,0,Match Report
186,Manchester City,2018-03-04,Chelsea,eng Premier League,W 1-0,1,0,+1,71,1,0,0,0,25,20,1,2,0,1,1,Match Report
187,Southampton,2018-03-03,Stoke City,eng Premier League,D 0-0,0,0,0,65,0,0,0,0,32,22,2,3,3,2,0,Match Report
188,Watford,2018-03-03,West Brom,eng Premier League,W 1-0,1,0,+1,53,1,0,0,0,23,11,5,2,4,1,0,Match Report
189,Liverpool,2018-03-03,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,70,2,0,0,0,26,19,4,0,2,1,0,Match Report
190,Tottenham,2018-03-03,Huddersfield,eng Premier League,W 2-0,2,0,+2,74,2,0,0,0,28,23,1,3,0,1,0,Match Report
191,Burnley,2018-03-03,Everton,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,37,27,3,0,5,0,2,Match Report
192,West Ham,2018-03-03,Swansea City,eng Premier League,L 1-4,1,4,-3,54,1,0,0,0,12,8,1,2,0,1,0,Match Report
193,Leicester City,2018-03-03,Bournemouth,eng Premier League,D 1-1,1,1,0,55,1,0,0,0,39,24,6,2,5,2,0,Match Report
